epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,589.171,1.68724,1.7166,1.73275,0.67511,0.55364,0.59259,0.27677,1.84599,1.60156,1.9234,0.00333242,0.00333242,0.0700082
2,1184.18,1.62639,1.57184,1.70488,0.84038,0.7155,0.79711,0.44714,1.51925,1.21747,1.6995,0.00659976,0.00659976,0.0399422
3,1778.7,1.56409,1.46984,1.65709,0.85142,0.76185,0.83715,0.48899,1.4349,1.06631,1.60585,0.00980111,0.00980111,0.00981023
4,2373.68,1.52385,1.3961,1.62079,0.86439,0.76816,0.85371,0.51098,1.38262,0.99586,1.55831,0.009703,0.009703,0.009703
5,2964.65,1.49217,1.34052,1.60067,0.87994,0.78635,0.86614,0.52368,1.3629,0.9423,1.52968,0.009604,0.009604,0.009604
6,3558.51,1.46933,1.30631,1.58332,0.88762,0.80121,0.87895,0.54017,1.32783,0.90442,1.50865,0.009505,0.009505,0.009505
7,4149.87,1.45369,1.27349,1.56889,0.89149,0.80526,0.88421,0.5471,1.30398,0.87908,1.49347,0.009406,0.009406,0.009406
8,4743.16,1.44133,1.25198,1.56098,0.89217,0.80558,0.88662,0.55158,1.29422,0.85635,1.47959,0.009307,0.009307,0.009307
9,5333.12,1.43137,1.23263,1.55572,0.89675,0.8221,0.89388,0.56197,1.27313,0.82624,1.46955,0.009208,0.009208,0.009208
10,5926.63,1.42891,1.2251,1.55307,0.89978,0.82441,0.89754,0.56362,1.2656,0.81592,1.46337,0.009109,0.009109,0.009109
11,6516.9,1.41652,1.20275,1.54126,0.90201,0.82659,0.89889,0.56808,1.25699,0.80721,1.45507,0.00901,0.00901,0.00901
12,7105.4,1.41084,1.19461,1.53648,0.90298,0.82806,0.90126,0.5715,1.25299,0.79973,1.44753,0.008911,0.008911,0.008911
13,7693.57,1.40692,1.19,1.53335,0.9036,0.82939,0.90175,0.57302,1.24721,0.79343,1.44358,0.008812,0.008812,0.008812
14,8276.39,1.39886,1.18063,1.53088,0.90415,0.83177,0.90417,0.57494,1.24261,0.7925,1.44017,0.008713,0.008713,0.008713
